#Software: SHOUTcast
#Version: 2.6.0.750
#Fields: c-ip c-dns date time cs-uri-stem c-status cs(User-Agent) sc-bytes x-duration avgbandwidth
99.203.33.22 99.203.33.22 2019-10-06 05:49:33 /stream?title=Ray%20Charles%20-%20Eleanor%20Rigby 200 AppleCoreMedia%2F1.0.0.16G102%20%28iPhone%3B%20U%3B%20CPU%20OS%2012_4_1%20like%20Mac%20OS%20X%3B%20en_us%29 2816640 161 139957
99.203.33.22 99.203.33.22 2019-10-06 05:53:04 /stream?title=Jane%E2%80%99s%20Addiction%20-%20Been%20Caught%20Stealing 200 AppleCoreMedia%2F1.0.0.16G102%20%28iPhone%3B%20U%3B%20CPU%20OS%2012_4_1%20like%20Mac%20OS%20X%3B%20en_us%29 3376512 211 128019
99.203.33.22 99.203.33.22 2019-10-06 05:58:12 /stream?title=Buddy%20Guy%20-%20The%20Blues%20Is%20Alive%20and%20Well 200 AppleCoreMedia%2F1.0.0.16G102%20%28iPhone%3B%20U%3B%20CPU%20OS%2012_4_1%20like%20Mac%20OS%20X%3B%20en_us%29 4929024 308 128026
99.203.33.22 99.203.33.22 2019-10-06 06:01:48 /stream?title=Earth%2C%20Wind%20%26%20Fire%20-%20September 200 AppleCoreMedia%2F1.0.0.16G102%20%28iPhone%3B%20U%3B%20CPU%20OS%2012_4_1%20like%20Mac%20OS%20X%3B%20en_us%29 3386112 216 125411
99.203.33.22 99.203.33.22 2019-10-06 06:04:47 /stream?title=Van%20Halen%20-%20Take%20Your%20Whiskey%20Home 200 AppleCoreMedia%2F1.0.0.16G102%20%28iPhone%3B%20U%3B%20CPU%20OS%2012_4_1%20like%20Mac%20OS%20X%3B%20en_us%29 2937600 179 131289
99.203.33.22 99.203.33.22 2019-10-06 06:12:20 /stream?title=Steely%20Dan%20-%20Deacon%20Blues 200 AppleCoreMedia%2F1.0.0.16G102%20%28iPhone%3B%20U%3B%20CPU%20OS%2012_4_1%20like%20Mac%20OS%20X%3B%20en_us%29 7244160 453 127932
99.203.33.22 99.203.33.22 2019-10-06 06:15:45 /stream?title=Scorpions%20-%20The%20Zoo 200 AppleCoreMedia%2F1.0.0.16G102%20%28iPhone%3B%20U%3B%20CPU%20OS%2012_4_1%20like%20Mac%20OS%20X%3B%20en_us%29 3285120 205 128199
88.106.121.194 88.106.121.194 2019-10-06 07:41:35 /stream?title=Unknown 200 Mozilla%2F5.0%20%28Macintosh%3B%20Intel%20Mac%20OS%20X%2010_14_6%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F77.0.3865.90%20Safari%2F537.36 92928 1 743424
88.106.121.194 88.106.121.194 2019-10-06 07:44:18 /stream?title=Unknown 200 Mozilla%2F5.0%20%28Macintosh%3B%20Intel%20Mac%20OS%20X%2010_14_6%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F77.0.3865.90%20Safari%2F537.36 2863104 163 140520
88.106.121.194 88.106.121.194 2019-10-06 07:45:43 /stream?title=Unknown 200 Mozilla%2F5.0%20%28Macintosh%3B%20Intel%20Mac%20OS%20X%2010_14_6%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F77.0.3865.90%20Safari%2F537.36 857088 38 180439
